longitude,latitude,country
-36.587909,-54.429579,South Georgia and the South Sandwich Islands
-90.230759,15.783471,Guatemala
144.793731,13.444304,Guam
-15.180413,11.803749,Guinea-Bissau
-58.93018,4.860416,Guyana
34.308825,31.354676,Gaza Strip
114.109497,22.396428,Hong Kong
73.504158,-53.08181,Heard Island and McDonald Islands
-86.241905,15.199999,Honduras
15.2,45.1,Croatia
-72.285215,18.971187,Haiti
19.503304,47.162494,Hungary
113.921327,-0.789275,Indonesia
-8.24389,53.41291,Ireland
34.851612,31.046051,Israel
-4.548056,54.236107,Isle of Man
78.96288,20.593684,India
71.876519,-6.343194,British Indian Ocean Territory
43.679291,33.223191,Iraq
53.688046,32.427908,Iran
-19.020835,64.963051,Iceland
12.56738,41.87194,Italy
-2.13125,49.214439,Jersey
-77.297508,18.109581,Jamaica
36.238414,30.585164,Jordan
138.252924,36.204824,Japan
37.906193,-0.023559,Kenya
74.766098,41.20438,Kyrgyzstan
104.990963,12.565679,Cambodia
-168.734039,-3.370417,Kiribati
43.872219,-11.875001,Comoros
-62.782998,17.357822,Saint Kitts and Nevis
127.510093,40.339852,North Korea
127.766922,35.907757,South Korea
47.481766,29.31166,Kuwait
-80.566956,19.513469,Cayman Islands
66.923684,48.019573,Kazakhstan
102.495496,19.85627,Laos
35.862285,33.854721,Lebanon
-60.978893,13.909444,Saint Lucia
9.555373,47.166,Liechtenstein
80.771797,7.873054,Sri Lanka
-9.429499,6.428055,Liberia
28.233608,-29.609988,Lesotho
23.881275,55.169438,Lithuania
6.129583,49.815273,Luxembourg
24.603189,56.879635,Latvia
17.228331,26.3351,Libya
-7.09262,31.791702,Morocco
7.412841,43.750298,Monaco
28.369885,47.411631,Moldova
19.37439,42.708678,Montenegro
46.869107,-18.766947,Madagascar
171.184478,7.131474,Marshall Islands
21.745275,41.608635,Macedonia [FYROM]
-3.996166,17.570692,Mali
95.956223,21.913965,Myanmar [Burma]
103.846656,46.862496,Mongolia
113.543873,22.198745,Macau
145.38469,17.33083,Northern Mariana Islands
-61.024174,14.641528,Martinique
-10.940835,21.00789,Mauritania
-62.187366,16.742498,Montserrat
14.375416,35.937496,Malta
57.552152,-20.348404,Mauritius
73.22068,3.202778,Maldives
34.301525,-13.254308,Malawi
-102.552784,23.634501,Mexico
101.975766,4.210484,Malaysia
35.529562,-18.665695,Mozambique
18.49041,-22.95764,Namibia
165.618042,-20.904305,New Caledonia
8.081666,17.607789,Niger
167.954712,-29.040835,Norfolk Island
8.675277,9.081999,Nigeria
-85.207229,12.865416,Nicaragua
5.291266,52.132633,Netherlands
8.468946,60.472024,Norway
84.124008,28.394857,Nepal
166.931503,-0.522778,Nauru
-169.867233,-19.054445,Niue
174.885971,-40.900557,New Zealand
55.923255,21.512583,Oman
-80.782127,8.537981,Panama
-75.015152,-9.189967,Peru
-149.406843,-17.679742,French Polynesia
143.95555,-6.314993,Papua New Guinea
121.774017,12.879721,Philippines
69.345116,30.375321,Pakistan
19.145136,51.919438,Poland
-56.27111,46.941936,Saint Pierre and Miquelon
-127.439308,-24.703615,Pitcairn Islands
-66.590149,18.220833,Puerto Rico
35.233154,31.952162,Palestinian Territories
-8.224454,39.399872,Portugal
134.58252,7.51498,Palau
-58.443832,-23.442503,Paraguay
51.183884,25.354826,Qatar
55.536384,-21.115141,Réunion
24.96676,45.943161,Romania
21.005859,44.016521,Serbia
105.318756,61.52401,Russia
29.873888,-1.940278,Rwanda
45.079162,23.885942,Saudi Arabia
160.156194,-9.64571,Solomon Islands
55.491977,-4.679574,Seychelles
30.217636,12.862807,Sudan
18.643501,60.128161,Sweden
103.819836,1.352083,Singapore
-10.030696,-24.143474,Saint Helena
14.995463,46.151241,Slovenia
23.670272,77.553604,Svalbard and Jan Mayen
19.699024,48.669026,Slovakia
-11.779889,8.460555,Sierra Leone
12.457777,43.94236,San Marino
-14.452362,14.497401,Senegal
46.199616,5.152149,Somalia
-56.027783,3.919305,Suriname
6.613081,0.18636,São Tomé and Príncipe
-88.89653,13.794185,El Salvador
38.996815,34.802075,Syria
31.465866,-26.522503,Swaziland
-71.797928,21.694025,Turks and Caicos Islands
18.732207,15.454166,Chad
69.348557,-49.280366,French Southern Territories
0.824782,8.619543,Togo
100.992541,15.870032,Thailand
71.276093,38.861034,Tajikistan
-171.855881,-8.967363,Tokelau
125.727539,-8.874217,Timor-Leste
59.556278,38.969719,Turkmenistan
9.537499,33.886917,Tunisia
-175.198242,-21.178986,Tonga
35.243322,38.963745,Turkey
-61.222503,10.691803,Trinidad and Tobago
177.64933,-7.109535,Tuvalu
120.960515,23.69781,Taiwan
34.888822,-6.369028,Tanzania
31.16558,48.379433,Ukraine
32.290275,1.373333,Uganda
,,U.S. Minor Outlying Islands
-95.712891,37.09024,United States
-55.765835,-32.522779,Uruguay
64.585262,41.377491,Uzbekistan
12.453389,41.902916,Vatican City
-61.287228,12.984305,Saint Vincent and the Grenadines
-66.58973,6.42375,Venezuela
-64.639968,18.420695,British Virgin Islands
-64.896335,18.335765,U.S. Virgin Islands
108.277199,14.058324,Vietnam
166.959158,-15.376706,Vanuatu
-177.156097,-13.768752,Wallis and Futuna
-172.104629,-13.759029,Samoa
20.902977,42.602636,Kosovo
48.516388,15.552727,Yemen
45.166244,-12.8275,Mayotte
22.937506,-30.559482,South Africa
27.849332,-13.133897,Zambia
29.154857,-19.015438,Zimbabwe
